Year,Month,Day,day_of_week,h_name,h_game_number,h_wins,v_name,v_game_number,v_wins,h_score,v_score
2006,4,2,Sun,CHA,1,0,CLE,1,0,10,4
2006,4,3,Mon,BAL,1,0,TBA,1,0,9,6
2006,4,3,Mon,KCA,1,0,DET,1,0,1,3
2006,4,3,Mon,OAK,1,0,NYA,1,0,2,15
2006,4,3,Mon,SEA,1,0,ANA,1,0,4,5
2006,4,3,Mon,TEX,1,0,BOS,1,0,3,7
2006,4,3,Mon,CIN,1,0,CHN,1,0,7,16
2006,4,3,Mon,COL,1,0,ARI,1,0,3,2
2006,4,3,Mon,HOU,1,0,MIA,1,0,1,0
2006,4,3,Mon,LAN,1,0,ATL,1,0,10,11
2006,4,3,Mon,MIL,1,0,PIT,1,0,5,2
2006,4,3,Mon,NYN,1,0,WAS,1,0,3,2
2006,4,3,Mon,PHI,1,0,SLN,1,0,5,13
2006,4,3,Mon,SDN,1,0,SFN,1,0,6,1
2006,4,4,Tue,CHA,2,1,CLE,2,0,2,8
2006,4,4,Tue,OAK,2,0,NYA,2,1,4,3
2006,4,4,Tue,SEA,2,0,ANA,2,1,10,8
2006,4,4,Tue,TEX,2,0,BOS,2,1,10,4
2006,4,4,Tue,TOR,1,0,MIN,1,0,6,3
2006,4,4,Tue,HOU,2,1,MIA,2,0,2,11
2006,4,4,Tue,LAN,2,0,ATL,2,1,5,4
2006,4,4,Tue,MIL,2,1,PIT,2,0,7,5
2006,4,5,Wed,BAL,2,1,TBA,2,0,16,6
2006,4,5,Wed,CHA,3,1,CLE,3,1,3,4
2006,4,5,Wed,KCA,2,0,DET,2,1,3,14
2006,4,5,Wed,OAK,3,1,NYA,3,1,9,4
2006,4,5,Wed,SEA,3,1,ANA,3,1,6,4
2006,4,5,Wed,TEX,3,1,BOS,3,1,1,2
2006,4,5,Wed,TOR,2,1,MIN,2,0,4,13
2006,4,5,Wed,CIN,2,0,CHN,2,1,8,6
2006,4,5,Wed,COL,2,1,ARI,2,0,2,4
2006,4,5,Wed,HOU,3,1,MIA,3,1,6,5
2006,4,5,Wed,LAN,3,1,ATL,3,1,8,9
2006,4,5,Wed,MIL,3,2,PIT,3,0,3,2
2006,4,5,Wed,NYN,2,1,WAS,2,0,5,9
2006,4,5,Wed,PHI,2,0,SLN,2,1,3,4
2006,4,5,Wed,SDN,2,1,SFN,2,0,1,3
2006,4,6,Thu,BAL,3,2,TBA,3,0,0,2
2006,4,6,Thu,SEA,4,2,OAK,4,2,6,2
2006,4,6,Thu,TEX,4,1,DET,3,2,6,10
2006,4,6,Thu,TOR,3,1,MIN,3,1,6,3
2006,4,6,Thu,CIN,3,1,PIT,4,0,6,5
2006,4,6,Thu,COL,3,1,ARI,3,1,5,12
2006,4,6,Thu,NYN,3,1,WAS,3,1,10,5
2006,4,6,Thu,PHI,3,0,SLN,3,2,2,4
2006,4,6,Thu,SFN,3,1,ATL,4,2,6,4
2006,4,7,Fri,ANA,4,1,NYA,4,1,4,1
2006,4,7,Fri,BAL,4,2,BOS,4,2,8,14
2006,4,7,Fri,CLE,4,2,MIN,4,1,11,6
2006,4,7,Fri,KCA,3,0,CHA,4,1,11,7
2006,4,7,Fri,SEA,5,3,OAK,5,2,0,5
2006,4,7,Fri,TEX,5,1,DET,4,3,2,5
2006,4,7,Fri,TOR,4,2,TBA,4,1,8,9
2006,4,7,Fri,CHN,3,1,SLN,4,3,5,1
2006,4,7,Fri,CIN,4,2,PIT,5,0,7,6
2006,4,7,Fri,HOU,4,2,WAS,4,1,6,1
2006,4,7,Fri,MIL,4,3,ARI,4,2,3,1
2006,4,7,Fri,NYN,4,2,MIA,4,1,9,3
2006,4,7,Fri,PHI,4,0,LAN,4,1,3,5
2006,4,7,Fri,SDN,3,1,COL,4,1,4,10
2006,4,7,Fri,SFN,4,2,ATL,5,2,6,14
2006,4,8,Sat,ANA,5,2,NYA,5,1,3,2
2006,4,8,Sat,BAL,5,2,BOS,5,3,1,2
2006,4,8,Sat,CLE,5,3,MIN,5,1,3,0
2006,4,8,Sat,KCA,4,1,CHA,5,1,4,3
2006,4,8,Sat,SEA,6,3,OAK,6,3,0,3
2006,4,8,Sat,TEX,6,1,DET,5,4,0,7
